site,date,pct_cover
Andrew Molera,2002-11-19,62
Andrew Molera,2003-03-25,50.6
Andrew Molera,2003-06-30,54.2
Andrew Molera,2003-11-24,51.6
Andrew Molera,2004-03-18,55.8
Andrew Molera,2004-07-07,68.6
Andrew Molera,2004-10-26,59.6
Andrew Molera,2005-03-09,60.2
Andrew Molera,2005-07-10,77.6
Andrew Molera,2005-11-01,72.6
Andrew Molera,2006-03-27,76.2
Andrew Molera,2006-07-27,80.8
Andrew Molera,2006-11-03,68.6
Andrew Molera,2007-04-22,69.6
Andrew Molera,2007-07-05,72.2
Andrew Molera,2007-11-25,66.2
Andrew Molera,2008-03-06,65
Andrew Molera,2008-07-19,74.4
Andrew Molera,2008-10-16,69
Andrew Molera,2009-03-09,62
Andrew Molera,2009-07-10,57
Andrew Molera,2009-11-17,63.2
Andrew Molera,2010-04-19,72.4
Andrew Molera,2010-07-26,61.8
Andrew Molera,2010-11-21,56.2
Andrew Molera,2011-04-21,59.6
Andrew Molera,2011-11-23,73
Andrew Molera,2012-11-28,73.2
Andrew Molera,2013-11-02,69.6
Andrew Molera,2014-11-08,82.8
Andrew Molera,2015-10-28,85.2
Andrew Molera,2016-11-13,90.4
China Rocks,2007-11-09,40
China Rocks,2008-04-10,57.2
China Rocks,2009-05-01,28.4
China Rocks,2011-10-27,26
Garrapata,2007-11-10,64.8
Garrapata,2008-04-08,48.6
Garrapata,2009-04-29,34.4
Garrapata,2011-10-28,40.2
Hopkins,2002-11-05,21.8
Hopkins,2003-03-26,16.4
Hopkins,2003-07-02,20.2
Hopkins,2003-10-26,15.6
Hopkins,2004-03-19,24.2
Hopkins,2004-07-04,28.6
Hopkins,2004-10-14,25
Hopkins,2005-03-07,27
Hopkins,2005-07-08,39.4
Hopkins,2005-11-05,45.8
Hopkins,2006-04-18,34.4
Hopkins,2006-07-25,35.2
Hopkins,2006-10-07,37.2
Hopkins,2007-03-16,34.2
Hopkins,2007-07-03,46
Hopkins,2007-10-26,35.2
Hopkins,2008-03-04,28.6
Hopkins,2008-07-18,29.8
Hopkins,2008-10-15,30.2
Hopkins,2009-03-06,23.2
Hopkins,2009-07-08,26
Hopkins,2009-11-03,28.6
Hopkins,2010-03-25,25
Hopkins,2010-07-25,30.6
Hopkins,2010-11-20,33
Hopkins,2011-04-18,28.2
Hopkins,2011-10-26,31.6
Hopkins,2012-10-16,34.6
Hopkins,2013-10-18,31.6
Hopkins,2014-11-09,39.6
Hopkins,2015-10-25,43
Hopkins,2016-11-12,33.8
Mill Creek,2002-12-05,56
Mill Creek,2003-04-19,62.4
Mill Creek,2003-06-29,60.6
Mill Creek,2004-04-19,78.8
Mill Creek,2004-07-03,62.6
Mill Creek,2004-11-13,71.6
Mill Creek,2005-04-27,75.4
Mill Creek,2005-07-06,78.6
Mill Creek,2005-11-16,79.6
Mill Creek,2006-03-25,78.6
Mill Creek,2006-07-26,80.4
Mill Creek,2006-11-04,78.4
Mill Creek,2007-04-21,81.8
Mill Creek,2007-07-01,88.8
Mill Creek,2008-04-09,71.2
Mill Creek,2008-07-20,76.8
Mill Creek,2008-11-13,76.4
Mill Creek,2009-03-07,69.4
Mill Creek,2009-07-06,59.8
Mill Creek,2009-11-15,50.8
Mill Creek,2010-04-17,70
Mill Creek,2010-07-26,59.8
Mill Creek,2010-11-05,75
Mill Creek,2011-04-19,59.8
Mill Creek,2011-11-24,72.2
Mill Creek,2012-11-27,75.2
Mill Creek,2013-11-17,63.6
Mill Creek,2014-11-07,67.6
Mill Creek,2015-10-27,77.6
Mill Creek,2016-11-14,82.6
Natural Bridges,2007-10-10,35.8
Natural Bridges,2008-03-10,45.8
Natural Bridges,2009-04-02,26
Natural Bridges,2011-10-24,28.4
Piedras Blancas,2007-09-29,82.2
Piedras Blancas,2008-04-06,85.2
Piedras Blancas,2009-04-27,51.8
Piedras Blancas,2011-10-28,44.8
Point Pinos,2007-11-07,73.6
Point Pinos,2008-04-09,72.2
Point Pinos,2009-04-30,45.8
Point Pinos,2011-10-26,52.8
Point Sierra Nevada,2002-11-04,30.4
Point Sierra Nevada,2003-03-01,36.8
Point Sierra Nevada,2003-07-14,25.2
Point Sierra Nevada,2003-10-25,27.6
Point Sierra Nevada,2004-03-04,33.8
Point Sierra Nevada,2004-07-19,42.4
Point Sierra Nevada,2004-11-11,42.2
Point Sierra Nevada,2005-03-08,61.2
Point Sierra Nevada,2005-07-09,73.6
Point Sierra Nevada,2005-11-14,60.8
Point Sierra Nevada,2006-03-10,74.6
Point Sierra Nevada,2006-07-27,62.8
Point Sierra Nevada,2006-11-07,73.2
Point Sierra Nevada,2007-03-16,72.8
Point Sierra Nevada,2007-07-28,67.2
Point Sierra Nevada,2007-10-26,70.25
Point Sierra Nevada,2008-03-17,73.2
Point Sierra Nevada,2008-07-17,58.6
Point Sierra Nevada,2008-11-15,49.8
Point Sierra Nevada,2009-03-08,68.4
Point Sierra Nevada,2009-07-08,41
Point Sierra Nevada,2009-11-04,45.8
Point Sierra Nevada,2010-03-26,48
Point Sierra Nevada,2010-07-26,43.6
Point Sierra Nevada,2010-11-05,40.2
Point Sierra Nevada,2011-04-20,39.8
