sp,sp_name,cinms,mbnms,ocnms
ANTELE,Anthopleura elegantissima/sola,9809,7531,625
ARTCOR,Articulated Corallines,9921,7531,625
BARNAC,Barnacles,54,524,51
CHITON,Chitons,9778,6962,574
CHOCAN,Chondracanthus canaliculatus,9778,6962,574
CHTBAL,Chthamalus spp/Balanus glandula,9778,6962,574
CLACOL,Cladophora columbiana,9778,7007,574
CRUCOR,Crustose Corallines,9816,7486,625
EGRMEN,Egregia menziesii,9852,7531,625
EISARB,Eisenia arborea,1611,7404,625
ENDMUR,Endocladia muricata,9778,7007,574
ENPEPH,Endarachne/Petalonia/Phaeostrophion spp,9778,6962,574
FUCGAR,Fucus gardneri,NA,7007,574
HALSTE,Halidrys dioica/Stephanosystis spp,9782,7486,625
HEDSES,Hedophyllum sessile,NA,169,30
HESCAL,Hesperophycus californicus,9778,6962,574
LIMPET,Limpets,9778,7007,574
LOTGIG,Lottia gigantea,9778,6962,574
MASSPP,Mastocarpus papillatus/jardinii,9778,7007,574
MAZAFF,Mazzaella affinis,9778,6962,574
MAZSPP,Mazzaella spp.,466,7007,574
MYTCAL,Mytilus californianus,9807,7531,625
MYTTRO,Mytilus trossulus,NA,939,574
NEOLAR,Neorhodomela larix,NA,6630,70
NONCRU,Non-coralline Crusts,9787,7531,625
OTHALG,Other Algae/Plants,NA,7449,625
OTHBAR,Other Barnacle,8589,6257,574
OTHBRO,Other Brown Algae,9795,7531,625
OTHGRE,Other Green Algae,9827,7486,625
OTHINV,Other Invertebrate,9784,7531,625
OTHRED,Other Red Algae,9972,7531,625
OTHSUB,Other Substrate,300,7398,625
PELLIM,Pelvetiopsis limitata,NA,6962,574
PHRSAB,Phragmatopoma/Sabellaria spp,9871,7486,625
PHYSPP,Phyllospadix spp,10024,7486,625
PHYUND,Phyllospadix spp understory,79,524,51
PISOCH,Pisaster ochraceus,9778,7007,574
POLPOL,Pollicipes polymerus,9778,6962,574
PORSPP,Porphyra spp.,9778,7007,574
ROCK,Rock,9894,7531,625
SAND,Sand,9828,7531,625
SARMUT,Sargassum muticum,9329,7486,625
SCYSPP,Scytosiphon spp,9778,6962,574
SEMCAR,Semibalanus cariosus,NA,6585,574
SILCOM,Silvetia compressa,9778,6962,574
TAR,Tar,9779,7404,625
TETRUB,Tetraclita rubescens,9778,6962,574
ULVENT,Ulva/Enteromorpha,9778,7007,574
