marine_site_name,lat,lon,region
Alcatraz,37.825,-122.42194,
Alder Creek Landslide,,,MBNMS_S
Alegria,34.46714,-120.27738,
American Camp,48.45731,-123.02222,
Anchor Point,33.267136,-119.48723,
Andrew Molera,36.28061,-121.86317,MBNMS_S
Año Nuevo,,,MBNMS_N
Arroyo Hondo,34.47344,-120.1454,
Asilomar,,,MBNMS_S
Bird Rock,33.45145,-118.48763,
Boat House,34.55388,-120.61167,
Bob Creek,44.24456,-124.11443,
Bodega,38.3182,-123.07365,
Bodega Head,38.3104,-123.0824,
Bolinas Point,37.90354,-122.72721,
Boy Scout Camp,33.00112,-118.54832,
Burnt Hill,42.22814,-124.38786,
Cabrillo I,32.66947,-117.2455,
Cabrillo II,32.66766,-117.24526,
Cabrillo III,32.66583,-117.24417,
Cape Arago,43.30894,-124.40077,
Cape Mendocino,40.341,-124.36317,
Cardiff Reef,32.99984,-117.27867,
Carmel Point,,,MBNMS_S
Carpinteria,34.38703,-119.51407,
Carrington Point,,,CINMS_SR
Cat Rock,34.00557,-119.41925,CINMS_A
Cayucos,35.44739,-120.94982,
China Rocks,36.60616,-121.95939,MBNMS_S
Coal Oil Point,34.40693,-119.87804,
Cosign,33.274464,-119.57676,
Crook Point,34.02159,-120.37887,CINMS_SM
Crystal Cove,33.57078,-117.83773,
Cuyler Harbor,34.04855,-120.33642,CINMS_SM
Damnation Creek,41.65249,-124.12784,
Dana Point,33.4599,-117.71475,
Davenport Landing,37.02208,-122.21538,MBNMS_N
Diablo,35.22691,-120.87428,
Duck Pond,,,MBNMS_S
East Point,33.9427,-119.96797,CINMS_SR
Ecola,45.91809,-123.98031,
Eel Point,32.91801,-118.54668,
Enderts,41.69,-124.14257,
English Camp,48.59344,-123.1555,
False Klamath Cove,41.59476,-124.10643,
Fitzgerald Marine Reserve,,,MBNMS_N
Fogarty Creek,44.83864,-124.05875,
Ford Point,33.91453,-120.05024,CINMS_SR
Forney,,,CINMS_SC
Fossil Reef,33.99315,-120.23758,CINMS_SR
Franklin Point,,,MBNMS_N
Fraser Cove,34.06265,-119.91915,CINMS_SC
Freshwater Bay,48.150494,-123.63699,
Garrapata,36.46904,-121.93444,MBNMS_S
Government Point,34.44334,-120.45655,
Harris Point,34.07337,-120.36322,CINMS_SM
Hat Island East,48.52221,-122.54353,
Hat Island West,48.52353,-122.55222,
Hazards,35.28966,-120.88325,
Hopkins,36.6212,-121.9073,MBNMS_S
Horse Beach Cove,32.803,-118.42431,
Johnsons Lee,33.90872,-120.08629,CINMS_SR
Kibesillah Hill,39.60412,-123.78887,
Kydikabbit Point,48.39147,-124.65372,
Landing Cove,33.48158,-119.02958,CINMS_SB
Little Harbor,33.38499,-118.4752,
Lucia,,,MBNMS_S
Mal Paso,,,MBNMS_S
Manchester State Park; Central Puget Sound,47.57688,-122.54411,
Marker Poles,33.21868,-119.49562,
McDonald Cove; Hood Canal,47.628418,-122.95034,
Middle East,34.0058,-119.39577,CINMS_A
Middle West,34.0059,-119.39649,CINMS_A
Mill Creek,35.97965,-121.49034,MBNMS_S
Moat Creek,38.88091,-123.67475,
Mussel Shoals,34.35548,-119.44073,
Natural Bridges,36.94915,-122.06107,MBNMS_N
Navy North,32.6926,-117.25327,
Navy South,32.68288,-117.24956,
North Jenner Beach,38.45618,-123.14244,
NW Talcott,34.00957,-120.2176,CINMS_SR
Occulto,34.88122,-120.63954,
Old Stairs,34.06612,-118.99779,
Orizaba Cove,34.04508,-119.72188,CINMS_SC
Otter Harbor,34.05203,-120.40758,CINMS_SM
Pacific Valley,,,MBNMS_S
Paradise Cove,34.01201,-118.79225,
Partington Cove,,,MBNMS_S
Pebble Beach,,,MBNMS_N
Pescadero Point,,,MBNMS_S
Piedras Blancas,35.66493,-121.28699,MBNMS_S
Pigeon Point,,,MBNMS_N
Pirates Cove,56.98661,-135.37755,
Point Bonita,37.81911,-122.52935,
Point Fermin,33.70679,-118.28599,
Point Grenville,47.30255,-124.27531,
Point Lobos,36.51366,-121.94688,MBNMS_S
Point of the Arches,48.242,-124.70779,
Point Pinos,36.63796,-121.93758,
Point Piños,,,MBNMS_S
Point Sierra Nevada,35.72883,-121.31866,MBNMS_S
Post Point,48.712,-122.51913,
Prisoners Harbor,34.02038,-119.6867,CINMS_SC
S Frenchys Cove,34.0066,-119.41077,CINMS_A
Saddlebag North Cove,48.5371,-122.5547,
Saddlebag South East,48.5343,-122.5549,
Sage Rock,57.0487,-135.32314,
San Simeon Point,35.63455,-121.19562,MBNMS_S
Sandhill Bluff,36.98017,-122.15503,MBNMS_N
Santa Maria Creek,38.01243,-122.84915,
Saunders Reef,38.86138,-123.65361,
Scorpion Rock,34.04552,-119.54685,CINMS_SC
Scott Creek,37.04425,-122.23493,MBNMS_N
Scripps Reef,32.87165,-117.25328,
Sea Lion Rookery,33.47201,-119.03066,CINMS_SB
Sea Ranch,38.7305,-123.48864,
Shaws Cove,33.54477,-117.79941,
Shell Beach,35.16881,-120.69668,
Shelter Cove,40.02254,-124.07366,
Slide Ranch,37.87406,-122.60094,MBNMS_N
Soberanes,,,MBNMS_S
Sokol Point; Chilean Memorial,47.94709,-124.66229,
South Point,,,CINMS_SR
Stairs,34.73038,-120.61546,
Starfish Point,47.6527,-124.3905,
Stillwater,36.56087,-121.94053,MBNMS_S
